c_number	mpn	row_text
C6650	ESDA6V1-5SC6	ESDA6V1-5SC6 | C6650 | Extended | -40℃~+125℃@(Ta) 100W 1uA 3V 5 50pF 6.1V 6.1V ESD IEC 61000-4-2 Unidirectional SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS | STMicroelectronics | 382 | 1+ | 3000+ | $0.1889 | Show More | Idle parts available | Min: 1 | Full Reel: 3000 | Total: $0.31 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C7074	SP0503BAHTG	SP0503BAHTG | C7074 | Extended | -55℃~+125℃ 100nA 30pF 5.5V 8.5V IEC 61000-4-2 TVS Three channels SOT-143 ESD and Surge Protection (TVS/ESD) ROHS | Littelfuse | 10054 | 1+ | 3000+ | $0.1536 | Show More | Idle parts available | Min: 1 | Full Reel: 3000 | Total: $0.31 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C7519	USBLC6-2SC6	USBLC6-2SC6 | C7519 | Extended | -40℃~+125℃ 150nA 17V 2 3.5pF 5.25V 5A 6V ESD IEC 61000-4-2 Unidirectional SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS | STMicroelectronics | 51716 | 1+ | 3000+ | $0.0801 | Show More | Idle parts available | Min: 1 | Full Reel: 3000 | Total: $0.15 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8800	SMBJ18CA	SMBJ18CA | C8800 | Extended | -55℃~+150℃ 18V 1uA 20.5A 23.3V 29.2V 600W@10/1000us Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 3 | 1+ | 3000+ | $0.0128 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.02 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8801	SMBJ40CA	SMBJ40CA | C8801 | Extended | -55℃~+150℃ 1uA 40V 51.1V 600W@10/1000us 64.5V 9.3A Bidirectional TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 2382 | 1+ | 3000+ | $0.0419 | Show More | Min: 1 | Full Reel: 3000 | Total: $0.08 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8802	SMBJ200CA	SMBJ200CA | C8802 | Extended | -55℃~+150℃ 1.9A@10/1000us 1uA 200V 247V 324V 600W@10/1000us Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 14 | 1+ | 500+ | $0.0441 | Show More | Min: 1 | Full Reel: 500 | Total: $0.08 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8803	5KP24CA	5KP24CA | C8803 | Extended | -55℃~+150℃ 128.53A@10/1000us 24V 29.5V 2uA 38.9V 5kW@10/1000us TVS P600 ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 487 | 1+ | 400+ | $0.4650 | Show More | Min: 1 | Full Reel: 400 | Total: $0.84 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8804	5KP33CA	5KP33CA | C8804 | Extended | 2uA 33V 40.6V 53.3V 5kW@10/1000us 93.81A@10/1000us Bidirectional TVS P600 ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 3577 | 1+ | 400+ | $0.4825 | Show More | Min: 1 | Full Reel: 400 | Total: $0.74 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8805	5KP40CA	5KP40CA | C8805 | Extended | -55℃~+150℃ 2uA 40V 49.1V 5kW@10/1000us 64.5V 77.52A@10/1000us Bidirectional TVS P600 ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 583 | 1+ | 400+ | $0.4506 | Show More | Min: 1 | Full Reel: 400 | Total: $0.83 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
C8824	SMBJ6.5CA	SMBJ6.5CA | C8824 | Extended | -55℃~+150℃ 11.2V 500uA 53.6A 6.5V 600W@10/1000us 8.3V Bidirectional IEC 61000-4-2、IEC 61000-4-4 TVS DO-214AA(SMB) ESD and Surge Protection (TVS/ESD) ROHS | RUILON(Shenzhen Ruilongyuan Elec) | 9 | 1+ | 500+ | $0.0470 | Show More | Idle parts available | Min: 1 | Full Reel: 500 | Total: $0.07 | Add to My Part Lib | Use the Parts Calculator to determine the quantities you need to purchase.
