"Reference","Value","Description","LCSC","QUANTITY"
"C11,C18","0402CG300J500NT","30pF ±5% 50V Ceramic Capacitor C0G 0402","C1570","2"
"C1,C2","0402CG470J500NT","47pF ±5% 50V Ceramic Capacitor C0G 0402","C1567","2"
"R1,R4,R7,R11,R22,R26","0402WGF1002TCE","10kΩ ±1% 62.5mW 0402 Thick Film Resistor","C25744","6"
"R25,R29,R35","0402WGF1003TCE","100kΩ ±1% 62.5mW 0402 Thick Film Resistor","C25741","3"
"R15,R16,R21","0402WGF1200TCE","120Ω ±1% 62.5mW 0402 Thick Film Resistor","C25079","3"
"R8-R10,R30,R39","0402WGF3300TCE","RES 330Ω ±1% 62.5mW 0402","C25104","5"
"R12-R14,R17,R19,R20","0402WGF499JTCE","49.9Ω ±1% 62.5mW 0402 Thick Film Resistor","C25120","6"
"R2,R3,R5,R6,R18","0402WGF5101TCE","5.1kΩ ±1% 62.5mW 0402 Thick Film Resistor","C25905","5"
"R27,R28","0402WGF604JTCE","RES 60.4Ω ±1% 62.5mW 0402","C60310","2"
"R23,R24,R31-R34,R36-R38","0603WAF0000T5E","0Ω ±1% 100mW 0603 Thick Film Resistor","C21189","9"
"D1,D2","1N4148WS_T4","","C2128","2"
"C44,C58","50PX330MEFC10X16","","C88789","2"
"U12","ACT1210D-101-2P-TL00","","C3039743","1"
"Q1","AO3401A","-4.0A Id, -30V Vds, P-Channel MOSFET, SOT-23","","1"
"U1,U2","BK22C07-4DP/2-0_4V(800)","","C27141223","2"
"D3,D4","BZT52B5V1S_C19077434","","C19077434","2"
"U11","CA-IF1044VD-Q1","","C5155979","1"
"C5,C26,C28,C29","CL05A105KA5NQNC","1uF ±10% 25V Ceramic Capacitor X5R 0402","C52923","4"
"C9,C10,C12,C13,C15,C17,C30","CL05B103KB5NNNC","10nF ±10% 50V Ceramic Capacitor X7R 0402","C15195","7"
"C3,C4,C6,C16,C19-C23,C25,C27,C36,C50,C59,C60","CL05B104KB54PNC","100nF ±10% 50V Ceramic Capacitor X7R 0402","C307331","15"
"C31,C33,C45,C47","CL10A105KB8NNNC","1uF ±10% 50V Ceramic Capacitor X5R 0603","C15849","4"
"C14,C24","CL10A475KO8NNNC","CAP CER 4.7uF 16V X5R 0603","C19666","2"
"C32,C46","CL10B473KB8NNNC","47nF ±10% 50V Ceramic Capacitor X7R 0603","C1622","2"
"J9,J10","Conn_01x03","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)","","2"
"J13","Conn_01x04","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","","1"
"U14,U15","DRV8316CRRGFR","","C5447274","2"
"C43,C57","EEEFT1H331GP","","C542207","2"
"U3","FMMT620TA","","C74081","1"
"C7,C8,C34,C35,C37-C42,C48,C49,C51-C56","GRM21BR61H106KE43L","10uF ±10% 50V Ceramic Capacitor X5R 0805","C440198","18"
"L3","GZ1608D601TF","600Ω@100MHz 200mA ferrite bead","C1002","1"
"U8","H5VN10B","","C20615784","1"
"LED1,LED2","KT-0603W","","C2290","2"
"LED3-LED5","KT-0603R","","C2286","3"
"U16,U18","MT6701QT","Hall Based Angle Position Encoder Sensor, I2C, SSI, ABZ & UVW interfaces, 3.3..5V supply, QFN-16","","2"
"U13","PESD2CAN","","C284078","1"
"L1,L2","PRS3015-470MT","","C96151","2"
"SW1,SW2","SKSGPAE010","","C125045","2"
"U5","SMF30CA_C19077519","","C19077519","1"
"H3,H6,H9,H12","SMTSOM225BTR","","C5301773","4"
"U6,U10,U17,U19","SRV05-4A","ESD Protection Diodes with Low Clamping Voltage, SOT-23-6","","4"
"U7","STM32G473RBTx","STMicroelectronics Arm Cortex-M4 MCU, 128KB flash, 128KB RAM, 170 MHz, 1.71-3.6V, 52 GPIO, LQFP64","","1"
"J2","TYPE-C-31-M-12","","C165948","1"
"U4","WSD4066DN","","C377861","1"
"X1","X322512MSB4SI","Crystal 12MHz ±10ppm 20pF SMD3225-4P","C9002","1"
"U9","XC6206P332MR","","C5446","1"
"J1,J7,J8","XY-SH1_0-3A61","","C19271997","3"
"J5","XY-SH1_0-4A61","","C19271998","1"
"J11,J12","XY-SH1_0-6A51","","C19272009","2"
